battleneturl,race,s,sBase,sMineral,hotkey00,hotkey01,hotkey02,hotkey03,hotkey04,hotkey05,hotkey06,hotkey07,hotkey08,hotkey09,hotkey10,hotkey11,hotkey12,hotkey13,hotkey14,hotkey15,hotkey16,hotkey17,hotkey18,hotkey19,hotkey20,hotkey21,hotkey22,hotkey23,hotkey24,hotkey25,hotkey26,hotkey27,hotkey28,hotkey29,hotkey30,hotkey31,hotkey32,hotkey33,hotkey34,hotkey35,hotkey36,hotkey37,hotkey38,hotkey39,hotkey40,hotkey41,hotkey42,hotkey43,hotkey44,hotkey45,hotkey46,hotkey47,hotkey48,hotkey49,hotkey50,hotkey51,hotkey52,hotkey53,hotkey54,hotkey55,hotkey56,hotkey57,hotkey58,hotkey59,hotkey60,hotkey61,hotkey62,hotkey63,hotkey64,hotkey65,hotkey66,hotkey67,hotkey68,hotkey69,hotkey70,hotkey71,hotkey72,hotkey73,hotkey74,hotkey75,hotkey76,hotkey77,hotkey78,hotkey79,hotkey80,hotkey81,hotkey82,hotkey83,hotkey84,hotkey85,hotkey86,hotkey87,hotkey88,hotkey89,hotkey90,hotkey91,hotkey92,hotkey93,hotkey94,hotkey95,hotkey96,hotkey97,hotkey98,hotkey99,apm
/Life/,Zerg,309,9,0,0,0,0,0,0,0,0,0,0,0,32,0,277,0,0,0,0,0,0,0,31,0,183,0,0,0,0,0,0,0,12,0,52,0,0,0,0,0,0,0,3,0,568,0,0,0,0,0,0,0,3,0,39,0,0,0,0,0,0,0,3,0,77,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3645584725537
/MMA/,Terran,291,0,4,2,0,0,0,0,0,0,0,0,0,5,0,108,0,0,0,0,0,0,0,1,0,457,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,5,0,296,0,0,0,0,0,0,0,3,0,89,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.487271103171059
/Life/,Zerg,323,0,4,1,0,0,0,0,0,0,0,0,0,4,0,19,0,0,0,0,0,0,0,1,0,532,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,253,0,0,0,0,0,0,0,3,0,142,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.619529621911283
/MMA/,Terran,341,9,0,1,0,0,0,0,0,0,0,0,0,22,0,314,0,0,0,0,0,0,0,37,0,217,0,0,0,0,0,0,0,12,0,60,0,0,0,0,0,0,0,3,0,653,0,0,0,0,0,0,0,3,0,36,0,0,0,0,0,0,0,4,0,47,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.757034390352835
/MMA/,Terran,340,13,0,1,0,0,0,0,0,0,0,0,0,28,0,266,0,0,0,0,0,0,0,40,0,181,0,0,0,0,0,0,0,5,0,25,0,0,0,0,0,0,0,3,0,581,0,0,0,0,0,0,0,2,0,34,0,0,0,0,0,0,0,2,0,41,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.139215978536296
/Life/,Zerg,305,0,2,2,0,3,0,0,0,0,0,0,0,6,0,67,0,0,0,0,0,0,0,1,0,426,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,275,0,0,0,0,0,0,0,3,0,75,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.555638313719648
/Bomber/,Terran,323,0,16,0,0,0,0,0,0,0,0,0,0,11,0,441,0,0,0,0,0,0,0,1,0,558,0,0,0,0,0,0,0,3,0,177,0,0,0,0,0,0,0,2,0,81,0,0,0,0,0,0,0,5,0,47,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.924084548972909
/Bomber/,Terran,366,4,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,9,0,100,0,0,0,0,0,0,0,3,0,29,0,0,0,0,0,0,0,3,0,92,0,0,0,0,0,0,0,1,0,271,0,0,0,0,0,0,0,2,0,187,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.666468135795116
/Bomber/,Terran,287,0,0,0,0,0,0,0,0,0,0,0,0,9,0,467,0,0,0,0,0,0,0,1,0,539,0,0,0,0,0,0,0,2,0,157,0,0,0,0,0,0,0,4,0,61,0,0,0,0,0,0,0,2,0,27,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.959511759452218
/Bomber/,Terran,356,5,0,0,0,0,0,0,0,0,0,0,0,9,0,15,0,0,0,0,0,0,0,4,0,99,0,0,0,0,0,0,0,3,0,24,0,0,0,0,0,0,0,3,0,79,0,0,0,0,0,0,0,1,0,275,0,0,0,0,0,0,0,2,0,157,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.296152699075455
/Stardust/,Protoss,316,0,11,1,0,0,0,0,0,0,0,0,0,9,0,38,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,1,0,501,0,0,0,0,0,0,0,3,0,114,0,0,0,0,0,0,0,6,0,268,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11.492403932082215
/Stardust/,Protoss,239,17,0,1,0,0,0,0,0,0,0,0,0,10,0,177,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,2,0,189,0,0,0,0,0,0,0,2,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9845192021434945
/Stardust/,Protoss,231,22,0,1,0,0,0,0,0,0,0,0,0,8,0,145,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,4,0,211,0,0,0,0,0,0,0,2,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.883668903803132
/herO/,Protoss,113,12,0,2,0,0,0,0,0,0,0,0,0,12,0,151,0,0,0,0,0,0,0,31,0,37,0,0,0,0,0,0,0,2,0,155,0,0,0,0,0,0,0,3,0,36,0,0,0,0,0,0,0,1,0,146,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6.289458010720667
/MinChul/,Protoss,254,60,0,1,0,33,0,0,0,0,0,0,0,12,0,160,0,0,0,0,0,0,0,5,0,229,0,0,0,0,0,0,0,3,0,465,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,11.02277802590442
/herO/,Protoss,263,55,0,1,0,29,0,0,0,0,0,0,0,12,0,182,0,0,0,0,0,0,0,4,0,180,0,0,0,0,0,0,0,3,0,475,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,10.896901072705603
/MinChul/,Protoss,114,11,0,1,0,0,0,0,0,0,0,0,0,17,0,167,0,0,0,0,0,0,0,26,0,41,0,0,0,0,0,0,0,2,0,173,0,0,0,0,0,0,0,2,0,31,0,0,0,0,0,0,0,1,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.486003573555688
/herO/,Protoss,334,91,0,1,0,0,0,0,0,0,0,0,0,8,0,89,0,0,0,0,0,0,0,4,0,229,0,0,0,0,0,0,0,3,0,519,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,11.487271103171059
/MinChul/,Protoss,100,6,0,1,0,0,0,0,0,0,0,0,0,15,0,149,0,0,0,0,0,0,0,22,0,76,0,0,0,0,0,0,0,3,0,147,0,0,0,0,0,0,0,3,0,34,0,0,0,0,0,0,0,1,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.44709388971684
/herO/,Protoss,276,79,0,1,0,0,0,0,0,0,0,0,0,7,0,101,0,0,0,0,0,0,0,4,0,259,0,0,0,0,0,0,0,3,0,482,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,10.94075617743376
